Axial Position x, Normalized Nozzle Radius r
-5.00,2.236068
-4.99,2.236068
-4.98,2.236068
-4.97,2.236068
-4.96,2.236068
-4.95,2.236068
-4.94,2.236068
-4.93,2.236068
-4.92,2.236068
-4.91,2.236068
-4.90,2.236068
-4.89,2.236068
-4.88,2.236068
-4.87,2.236068
-4.86,2.236068
-4.85,2.236068
-4.84,2.236068
-4.83,2.236068
-4.82,2.236068
-4.81,2.236068
-4.80,2.236068
-4.79,2.236068
-4.78,2.236068
-4.77,2.236068
-4.76,2.236068
-4.75,2.236068
-4.74,2.236068
-4.73,2.236068
-4.72,2.236068
-4.71,2.236068
-4.70,2.236068
-4.69,2.236068
-4.68,2.236068
-4.67,2.236068
-4.66,2.236068
-4.65,2.236068
-4.64,2.236068
-4.63,2.236068
-4.62,2.236068
-4.61,2.236068
-4.60,2.236068
-4.59,2.236068
-4.58,2.236068
-4.57,2.236068
-4.56,2.236068
-4.55,2.236068
-4.54,2.236068
-4.53,2.236068
-4.52,2.236068
-4.51,2.236068
-4.50,2.236068
-4.49,2.236068
-4.48,2.236068
-4.47,2.236068
-4.46,2.236068
-4.45,2.236068
-4.44,2.236068
-4.43,2.236068
-4.42,2.236068
-4.41,2.236068
-4.40,2.236068
-4.39,2.236068
-4.38,2.236068
-4.37,2.236068
-4.36,2.236068
-4.35,2.236068
-4.34,2.236068
-4.33,2.236068
-4.32,2.236068
-4.31,2.236068
-4.30,2.236068
-4.29,2.236068
-4.28,2.236068
-4.27,2.236068
-4.26,2.236068
-4.25,2.236068
-4.24,2.236068
-4.23,2.236068
-4.22,2.236068
-4.21,2.236068
-4.20,2.236068
-4.19,2.236068
-4.18,2.236068
-4.17,2.236068
-4.16,2.236068
-4.15,2.236068
-4.14,2.236068
-4.13,2.236068
-4.12,2.236068
-4.11,2.236068
-4.10,2.236068
-4.09,2.236068
-4.08,2.236068
-4.07,2.236068
-4.06,2.236068
-4.05,2.236068
-4.04,2.236068
-4.03,2.236068
-4.02,2.236068
-4.01,2.236068
-4.00,2.236068
-3.99,2.236068
-3.98,2.236068
-3.97,2.236068
-3.96,2.236068
-3.95,2.236068
-3.94,2.236068
-3.93,2.236068
-3.92,2.236068
-3.91,2.236068
-3.90,2.236068
-3.89,2.236068
-3.88,2.236068
-3.87,2.236068
-3.86,2.236068
-3.85,2.236068
-3.84,2.236068
-3.83,2.236068
-3.82,2.236068
-3.81,2.236068
-3.80,2.236068
-3.79,2.236068
-3.78,2.236068
-3.77,2.236068
-3.76,2.236068
-3.75,2.236068
-3.74,2.236068
-3.73,2.236068
-3.72,2.236068
-3.71,2.236068
-3.70,2.236068
-3.69,2.236068
-3.68,2.236068
-3.67,2.236068
-3.66,2.236068
-3.65,2.236068
-3.64,2.236068
-3.63,2.236068
-3.62,2.236068
-3.61,2.236068
-3.60,2.236068
-3.59,2.236068
-3.58,2.236068
-3.57,2.236068
-3.56,2.236068
-3.55,2.236068
-3.54,2.236068
-3.53,2.236068
-3.52,2.236068
-3.51,2.236068
-3.50,2.236068
-3.49,2.236068
-3.48,2.236068
-3.47,2.236068
-3.46,2.236068
-3.45,2.236068
-3.44,2.236068
-3.43,2.236068
-3.42,2.236068
-3.41,2.236068
-3.40,2.236068
-3.39,2.236068
-3.38,2.236068
-3.37,2.236068
-3.36,2.236068
-3.35,2.236068
-3.34,2.236068
-3.33,2.236068
-3.32,2.236068
-3.31,2.236068
-3.30,2.236068
-3.29,2.236068
-3.28,2.236068
-3.27,2.236068
-3.26,2.236068
-3.25,2.236068
-3.24,2.236068
-3.23,2.236068
-3.22,2.236068
-3.21,2.236068
-3.20,2.236068
-3.19,2.236068
-3.18,2.236068
